カテゴリ,ID,名前,レア度,タイプ,コスト(Lv1/2/3),価格,属性,説明
"パッシブ: 属性2コンボ倍率","combo2_mult_water","雨の二重奏","2","passive","-","20","water","雨ドロップで2コンボ以上すると、基礎コンボ数が[1.5 / 2 / 3]倍される。"
"パッシブ: 属性2コンボ倍率","combo2_mult_wood","風の二重奏","2","passive","-","20","wood","風ドロップで2コンボ以上すると、基礎コンボ数が[1.5 / 2 / 3]倍される。"
"パッシブ: 属性2コンボ倍率","combo2_mult_light","雷の二重奏","2","passive","-","20","light","雷ドロップで2コンボ以上すると、基礎コンボ数が[1.5 / 2 / 3]倍される。"
"パッシブ: 属性2コンボ倍率","combo2_mult_dark","月の二重奏","2","passive","-","20","dark","月ドロップで2コンボ以上すると、基礎コンボ数が[1.5 / 2 / 3]倍される。"
"パッシブ: 属性2コンボ倍率","combo2_mult_heart","癒の二重奏","2","passive","-","20","heart","ハートドロップで2コンボ以上すると、基礎コンボ数が[1.5 / 2 / 3]倍される。"
"パッシブ: 属性4個以上連結倍率","connect4_mult_fire","炎の四重奏","2","passive","-","20","fire","炎ドロップを4個以上繋げて消すと、基礎コンボ数が[1.2 / 1.5 / 2]倍される。"
"パッシブ: 属性4個以上連結倍率","connect4_mult_water","雨の四重奏","2","passive","-","20","water","雨ドロップを4個以上繋げて消すと、基礎コンボ数が[1.2 / 1.5 / 2]倍される。"
"パッシブ: 属性4個以上連結倍率","connect4_mult_wood","風の四重奏","2","passive","-","20","wood","風ドロップを4個以上繋げて消すと、基礎コンボ数が[1.2 / 1.5 / 2]倍される。"
"パッシブ: 属性4個以上連結倍率","connect4_mult_light","雷の四重奏","2","passive","-","20","light","雷ドロップを4個以上繋げて消すと、基礎コンボ数が[1.2 / 1.5 / 2]倍される。"
"パッシブ: 属性4個以上連結倍率","connect4_mult_dark","月の四重奏","2","passive","-","20","dark","月ドロップを4個以上繋げて消すと、基礎コンボ数が[1.2 / 1.5 / 2]倍される。"
"パッシブ: 属性4個以上連結倍率","connect4_mult_heart","癒の四重奏","2","passive","-","20","heart","ハートドロップを4個以上繋げて消すと、基礎コンボ数が[1.2 / 1.5 / 2]倍される。"
"パッシブ: 属性6個以上連結倍率","connect6_mult_fire","炎の六重奏","3","passive","-","26","fire","炎ドロップを6個以上繋げて消すと、基礎コンボ数が[2 / 3 / 4]倍される。"
"パッシブ: 属性6個以上連結倍率","connect6_mult_water","雨の六重奏","3","passive","-","26","water","雨ドロップを6個以上繋げて消すと、基礎コンボ数が[2 / 3 / 4]倍される。"
"パッシブ: 属性6個以上連結倍率","connect6_mult_wood","風の六重奏","3","passive","-","26","wood","風ドロップを6個以上繋げて消すと、基礎コンボ数が[2 / 3 / 4]倍される。"
"パッシブ: 属性6個以上連結倍率","connect6_mult_light","雷の六重奏","3","passive","-","26","light","雷ドロップを6個以上繋げて消すと、基礎コンボ数が[2 / 3 / 4]倍される。"
"パッシブ: 属性6個以上連結倍率","connect6_mult_dark","月の六重奏","3","passive","-","26","dark","月ドロップを6個以上繋げて消すと、基礎コンボ数が[2 / 3 / 4]倍される。"
"パッシブ: 属性6個以上連結倍率","connect6_mult_heart","癒の六重奏","3","passive","-","26","heart","ハートドロップを6個以上繋げて消すと、基礎コンボ数が[2 / 3 / 4]倍される。"
"パッシブ: コンボ倍率（2色同時）","bonus_2c_fd","炎月の律動","2","passive","-","20","fire, dark","炎/月を同時に消すと、コンボ倍率にプラス[2 / 3 / 5]。"
"パッシブ: コンボ倍率（2色同時）","bonus_2c_wh","蒼海の律動","2","passive","-","20","water, heart","雨/ハートを同時に消すと、コンボ倍率にプラス[2 / 3 / 5]。"
"パッシブ: コンボ倍率（2色同時）","bonus_2c_gl","風雷の律動","2","passive","-","20","wood, light","風/雷を同時に消すと、コンボ倍率にプラス[2 / 3 / 5]。"
"パッシブ: コンボ倍率（2色同時）","bonus_2c_wd","雨月の律動","2","passive","-","20","water, dark","雨/月を同時に消すと、コンボ倍率にプラス[2 / 3 / 5]。"
"パッシブ: コンボ倍率（2色同時）","bonus_2c_gh","風癒の律動","2","passive","-","20","wood, heart","風/ハートを同時に消すと、コンボ倍率にプラス[2 / 3 / 5]。"
"パッシブ: コンボ倍率（2色同時）","bonus_2c_fl","炎雷の律動","2","passive","-","20","fire, light","炎/雷を同時に消すと、コンボ倍率にプラス[2 / 3 / 5]。"
"パッシブ: コンボ倍率（3色同時）","bonus_3c_fdw","業水の律動","2","passive","-","24","fire, dark, water","炎/月/雨を同時に消すと、コンボ倍率にプラス[3 / 7 / 10]。"
"パッシブ: コンボ倍率（3色同時）","bonus_3c_fdl","炎雷月の律動","2","passive","-","24","fire, dark, light","炎/月/雷を同時に消すと、コンボ倍率にプラス[3 / 7 / 10]。"
"パッシブ: コンボ倍率（3色同時）","bonus_3c_whf","紅蓮の律動","2","passive","-","24","water, heart, fire","雨/ハート/炎を同時に消すと、コンボ倍率にプラス[3 / 7 / 10]。"
"パッシブ: コンボ倍率（3色同時）","bonus_3c_whg","蒼風の律動","2","passive","-","24","water, heart, wood","雨/ハート/風を同時に消すと、コンボ倍率にプラス[3 / 7 / 10]。"
"パッシブ: コンボ倍率（3色同時）","bonus_3c_gld","神緑の律動","2","passive","-","24","wood, light, dark","風/雷/月を同時に消すと、コンボ倍率にプラス[3 / 7 / 10]。"
"パッシブ: コンボ倍率（3色同時）","bonus_3c_glh","天恵の律動","2","passive","-","24","wood, light, heart","風/雷/ハートを同時に消すと、コンボ倍率にプラス[3 / 7 / 10]。"
"パッシブ: コンボ倍率（3色同時）","bonus_3c_fwg","天地の律動","2","passive","-","24","fire, water, wood","炎/雨/風を同時に消すと、コンボ倍率にプラス[3 / 7 / 10]。"
"パッシブ: コンボ倍率（3色同時）","bonus_3c_ldh","黄昏の律動","2","passive","-","24","light, dark, heart","雷/月/ハートを同時に消すと、コンボ倍率にプラス[3 / 7 / 10]。"
"パッシブ: コンボ倍率（4色以上・色数指定）","bonus_4c_fwlh","四天の秘儀","2","passive","-","26","fire, water, light, heart","炎/雨/雷/ハートを同時に消すと、基礎コンボ数が[1.5 / 2 / 3]倍になる。"
"パッシブ: コンボ倍率（4色以上・色数指定）","bonus_5c","五色の秘儀","2","passive","-","31","fire, water, wood, light, dark","5色以上を同時に消すと、基礎コンボ数が[2 / 3 / 4]倍になる。"
"パッシブ: コンボ倍率（4色以上・色数指定）","bonus_6c","六色の秘儀","2","passive","-","39","fire, water, wood, light, dark, heart","6色すべてを同時に消すと、基礎コンボ数が[3 / 4 / 5]倍になる。"
"パッシブ: 色消し数ボーナス（6個以上）","req_6_fire","炎の真髄","1","passive","-","24","fire","炎を合計で6個以上消していると、コンボ倍率にプラス[3 / 4 / 7]。"
"パッシブ: 色消し数ボーナス（6個以上）","req_6_water","雨の真髄","1","passive","-","24","water","雨を合計で6個以上消していると、コンボ倍率にプラス[3 / 4 / 7]。"
"パッシブ: 色消し数ボーナス（6個以上）","req_6_wood","風の真髄","1","passive","-","24","wood","風を合計で6個以上消していると、コンボ倍率にプラス[3 / 4 / 7]。"
"パッシブ: 色消し数ボーナス（6個以上）","req_6_light","雷の真髄","1","passive","-","24","light","雷を合計で6個以上消していると、コンボ倍率にプラス[3 / 4 / 7]。"
"パッシブ: 色消し数ボーナス（6個以上）","req_6_dark","月の真髄","1","passive","-","24","dark","月を合計で6個以上消していると、コンボ倍率にプラス[3 / 4 / 7]。"
"パッシブ: 色消し数ボーナス（6個以上）","req_6_heart","癒の真髄","1","passive","-","24","heart","ハートを合計で6個以上消していると、コンボ倍率にプラス[3 / 4 / 7]。"
"パッシブ: 色消し数ボーナス（12個以上）","req_12_fire","炎の極致","2","passive","-","31","fire","炎を合計で12個以上消していると、コンボ倍率にプラス[3 / 4 / 5]。"
"パッシブ: 色消し数ボーナス（12個以上）","req_12_water","雨の極致","2","passive","-","31","water","雨を合計で12個以上消していると、コンボ倍率にプラス[3 / 4 / 5]。"
"パッシブ: 色消し数ボーナス（12個以上）","req_12_wood","風の極致","2","passive","-","31","wood","風を合計で12個以上消していると、コンボ倍率にプラス[3 / 4 / 5]。"
"パッシブ: 色消し数ボーナス（12個以上）","req_12_light","雷の極致","2","passive","-","31","light","雷を合計で12個以上消していると、コンボ倍率にプラス[3 / 4 / 5]。"
"パッシブ: 色消し数ボーナス（12個以上）","req_12_dark","月の極致","2","passive","-","31","dark","月を合計で12個以上消していると、コンボ倍率にプラス[3 / 4 / 5]。"
"パッシブ: 色消し数ボーナス（12個以上）","req_12_heart","癒の極致","2","passive","-","31","heart","ハートを合計で12個以上消していると、コンボ倍率にプラス[3 / 4 / 5]。"
"パッシブ: 属性別コンボ加算（1コンボにつき+N）","cc_add_fire","炎の脈動","1","passive","-","14","fire","炎の1コンボにつきコンボ+[2 / 5 / 10]。"
"パッシブ: 属性別コンボ加算（1コンボにつき+N）","cc_add_water","雨の脈動","1","passive","-","14","water","雨の1コンボにつきコンボ+[2 / 5 / 10]。"
"パッシブ: 属性別コンボ加算（1コンボにつき+N）","cc_add_wood","風の脈動","1","passive","-","14","wood","風の1コンボにつきコンボ+[2 / 5 / 10]。"
"パッシブ: 属性別コンボ加算（1コンボにつき+N）","cc_add_light","雷の脈動","1","passive","-","14","light","雷の1コンボにつきコンボ+[2 / 5 / 10]。"
"パッシブ: 属性別コンボ加算（1コンボにつき+N）","cc_add_dark","月の脈動","1","passive","-","14","dark","月の1コンボにつきコンボ+[2 / 5 / 10]。"
"パッシブ: 属性別コンボ加算（1コンボにつき+N）","cc_add_heart","癒の脈動","1","passive","-","14","heart","ハートの1コンボにつきコンボ+[2 / 5 / 10]。"
"パッシブ: コンボ数ちょうどボーナス","combo_exact_3","五連の巧技","1","passive","-","15","","基礎コンボ数が5コンボ以下の時、コンボ+[15 / 40 / 100]。"
"パッシブ: コンボ数ちょうどボーナス","combo_exact_10","十連の極み","2","passive","-","24","","10コンボ以下でコンボ+[20 / 60 / 150]。"
"パッシブ: コンボ数閾値ボーナス","combo_ge_7","七連の闘気","2","passive","-","26","","7コンボ以上で、コンボ倍率にプラス[2 / 3 / 5]。"
"パッシブ: 特殊消しボーナス","len4","四連の術","1","passive","-","14","","4個消しでコンボ+[2 / 6 / 12]。"
"パッシブ: 特殊消しボーナス","row_clear","横一閃","1","passive","-","20","","横1列消しでコンボ+[5 / 7 / 10]。"
"パッシブ: 特殊消しボーナス","square","四方の型","1","passive","-","24","","3x3正方形消し1回につき、基礎コンボ数が[2 / 3 / 5]倍される。"
"パッシブ: 特殊消しボーナス","len5","五星の印","1","passive","-","19","","5個以上連結で次手の操作時間[2 / 3 / 4]倍。"
"パッシブ: 特殊消しボーナス","cross","十字の祈り","1","passive","-","24","","十字型消しで次手の操作時間[2 / 3 / 5]倍。"
"パッシブ: 特殊消しボーナス","l_shape","鉤十字の型","1","passive","-","24","","L字消しでコンボ+[3 / 6 / 9]。"
"パッシブ: 特殊消しボーナス","bonus_heart","癒の波動","1","passive","-","15","heart","ハートドロップを消したコンボ数分、追加でコンボ+[3 / 5 / 7]。"
"パッシブ: 特殊消しボーナス","giant","巨人の領域","3","passive","-","24","","装備中、盤面が7x6に拡張。基礎コンボ数が[2 / 3 / 4]倍になる。"
"パッシブ: 強化ドロップ","mana_crystal","マナの結晶化","1","passive","-","10","","落下ドロップの[5/10/20]%が強化ドロップになる。"
"パッシブ: 強化ドロップ","enhance_amp","強化増幅","2","passive","-","20","","強化1個あたりのコンボ加算を+[2 / 5 / 12]する。"
"パッシブ: 強化ドロップ","over_link","過剰結合","2","passive","-","24","","強化5個以上を消したら、コンボ倍率にプラス[2 / 3 / 5]。"
"パッシブ: 落ちコンボーナス","bonus_skyfall","天恵の追撃","3","passive","-","20","","落ちコン発生時にコンボ+[5 / 15 / 40]。"
"パッシブ: ボムドロップ","bomb_erase_mult","爆熱の余韻","3","passive","-","24","","基礎コンボ数が（1 + ボムの効果で消えたドロップ数 × [2 / 3 / 4]）倍になる。"
"パッシブ: ボムドロップ","ignited_drop_fire","爆炎の兆し","2","passive","-","24","fire","炎ドロップが、[3/5/10]%の確率でボムドロップとして降ってくるようになる。"
"パッシブ: ボムドロップ","ignited_drop_dark","暗黒の兆し","2","passive","-","24","dark","月ドロップが、[3/5/10]%の確率でボムドロップとして降ってくるようになる。"
"パッシブ: リピートドロップ","repeat_combo_mult","連鎖の共鳴","3","passive","-","24","","基礎コンボ数が（1 + リピートドロップの消去数 × [2 / 3 / 4]）倍になる。"
"パッシブ: リピートドロップ","repeat_chance_water","雨波の巡り","2","passive","-","19","water","雨ドロップが、[3/5/10]%の確率でリピートドロップとして降ってくるようになる。"
"パッシブ: リピートドロップ","repeat_chance_heart","生命の巡り","2","passive","-","19","heart","ハートドロップが、[3/5/10]%の確率でリピートドロップとして降ってくるようになる。"
"パッシブ: リピートドロップ","repeat_erase_combo","反響する輪舞","3","passive","-","26","","コンボ倍率にプラス（ターン中にリピートドロップが消えた数 × [2 / 3 / 5]）。"
"パッシブ: リピートドロップ","repeat_extra_activations","無限の風霊","3","passive","-","24","","リピートドロップ消去時、リピート効果が追加で[1 / 2 / 3]回発動する。"
"パッシブ: スタードロップ","star_chance_wood","星宿る風","2","passive","-","20","wood","風ドロップが、[10/30/50]%の確率でスタードロップとして降ってくるようになる。"
"パッシブ: スタードロップ","star_chance_light","星宿る雷","2","passive","-","20","light","雷ドロップが、[10/30/50]%の確率でスタードロップとして降ってくるようになる。"
"パッシブ: スタードロップ","star_erase_mult","星屑の共鳴","3","passive","-","26","","基礎コンボ数が（1 + ターン中にスタードロップが消えた数 × [1 / 2 / 3]）倍になる。"
"パッシブ: スタードロップ","star_earn_boost","星の祝福","2","passive","-","20","","スタードロップが消えた時にもらえるスター（通貨）の数が[3 / 5 / 8]個増える。"
"パッシブ: ムーブドロップ","move_drop","ムーブドロップ","2","passive","-","20","","所持中盤面にムーブドロップを1つ追加。[5 / 3 / 1]マス移動毎にカウント＋1。ターン終了時カウント数分コンボ加算。"
"パッシブ: ムーブドロップ","move_drop_boost","飛躍の歩法","2","passive","-","24","","ムーブドロップが規定マス移動した際、カウントの増加量が+[1 / 2 / 5]される。"
"パッシブ: ムーブドロップ","move_drop_lucky","幸運の歩み","3","passive","-","31","","コンボ終了時、カウントが[7 / 5,7 / 5,7,9]の倍数のムーブドロップがあれば、アクティブスキルをチャージMAXにする(カウント1以上限定)。"
"パッシブ: レジェンド","legend_acrobat","曲芸師","4","passive","-","77","heart","ハートドロップの2コンボ以上達成で、基礎コンボ数が7倍になる。"
"パッシブ: レジェンド","legend_saint","聖女","4","passive","-","77","","呪いトークンの負の効果が発動しなくなる（ロックのカウントは進み、解除は可能）。"
"パッシブ: レジェンド","legend_saint","聖女","4","passive","-","77","","呪いトークンの負の効果が発動しなくなる（ロックのカウントは進み、解除は可能）。"
"パッシブ: レジェンド","legend_inugami","犬神","4","passive","-","77","","基礎コンボ数が100以上の時、基礎コンボ数が10倍になる。"
"パッシブ: レジェンド","legend_sky_god","空の神","4","passive","-","77","","所持トークンが合計10個以下のとき、基礎コンボ数が4倍になる。"
"パッシブ: レジェンド","legend_awakening","覚醒","4","passive","-","77","","全てのドロップが強化（プラス）ドロップとして落ちてくる。"
"パッシブ: レジェンド","legend_magician","魔術師","4","passive","-","77","","他のトークンがエンチャントを入手した際、このトークンにも同じエンチャントが付与される。"
"パッシブ: レジェンド","legend_king","キング","4","passive","-","77","","所持している全てのトークンがレベル3に強化される（新規入手分も含む）。"
"パッシブ: レジェンド","legend_vacation","バカンス","4","passive","-","77","","雷と月のドロップが降ってこなくなる。"
"パッシブ: レジェンド","legend_limit_breaker","神ノ理","4","passive","-","77","","一部パッシブ効果による「動的コンボ倍率の最大上限」を撤廃する。"
"パッシブ: レジェンド","legend_celeb","セレブ","4","passive","-","77","","ショップに星1のトークンが出現しなくなる。"
"パッシブ: レジェンド","legend_chef","料理人","4","passive","-","77","","毎ターン、他のスキルのエネルギーが自動で追加で1回復する。"
"パッシブ: レジェンド","legend_magic_stone","魔法の石","4","passive","-","77","","ゲームオーバーになった時、このトークンが破壊され、手番が５復活する。"
"パッシブ: トークン数・レベル依存","star1_combo_boost","一星の共鳴","2","passive","-","15","","所持している★1トークン数 × [2 / 4 / 8]をコンボ数に加算する。"
"パッシブ: トークン数・レベル依存","star2_time_boost","二星の延刻","2","passive","-","15","","所持している★2トークン数 × [2 / 3 / 4]秒 操作時間を延長する。"
"パッシブ: トークン数・レベル依存","star3_mult_boost","三星の極雷","3","passive","-","24","","所持している★3トークン1個につき、基礎コンボ数が[2 / 3 / 4]倍される。"
"パッシブ: トークン数・レベル依存","enchant_mult_boost","魔導の共犯","3","passive","-","24","","所持しているエンチャント1個につき、基礎コンボ数が[2 / 3 / 4]倍される。"
"パッシブ: トークン数・レベル依存","total_level_boost","全霊の共鳴","3","passive","-","31","","所持しているトークンのレベル数の合計 × [1 / 2 / 4] をコンボ数に加算する。"
"パッシブ: トークン数・レベル依存","level3_count_mult","三魂の極致","3","passive","-","39","","コンボ倍率にプラス（所持しているレベル3トークンの数 × [2 / 3 / 4]）。"
"パッシブ: トークン数・レベル依存","curse_count_mult","厄災の祈り","3","passive","-","39","","コンボ倍率にプラス（所持している呪いの数 × [2 / 3 / 5]）。"
"パッシブ: トークン数・レベル依存","copy_token","模倣の魔鏡","3","passive","-","26","","左隣のトークンの効果とエンチャントをコピーする。自身はレベルアップせず、エンチャントも付与されない。"
"パッシブ: トークン数・レベル依存","duration_booster","刻の歯車","3","passive","-","39","","効果手番があるアクティブスキルの持続時間を [1 / 2 / 3] 手番延長する。"
"パッシブ: 統計依存（コンボ・倍率）","memory_of_combo","コンボの記憶","2","passive","-","15","","現在のゲーム中の「最大コンボ数」5コンボにつき、常にコンボ加算 + [1 / 2 / 3]。"
"パッシブ: 統計依存（コンボ・倍率）","echo_of_max","極大の余韻","3","passive","-","24","","現在のゲーム中の「最大コンボ倍率」の[10/20/50]%を、コンボ倍率にプラスする。"
"パッシブ: 統計依存（コンボ・倍率）","thousand_arms","千手観音","3","passive","-","26","","現在のゲーム中の「累計コンボ数」100ごとに、基礎コンボ数が[2 / 3 / 4]倍される。"
"パッシブ: 統計依存（コンボ・倍率）","curse_eater","呪い喰い","3","passive","-","39","","基礎コンボ数が（1 + 解除した呪いトークンの累計数 × [2 / 3 / 5]）倍になる。"
"パッシブ: 統計依存（コンボ・倍率）","chalice_of_life","生命の器","2","passive","-","26","heart","累計で消去したハートドロップ数30個ごとに、基礎コンボ数が[2 / 3 / 4]倍される。"
"パッシブ: 統計依存（コンボ・倍率）","time_skipper","早送りの極意","2","passive","-","24","","スキップしたターン数5回につき、コンボ倍率にプラス[2 / 3 / 4]。"
"パッシブ: 属性依存・条件付き強化","attr_res_fire","紅炎の共鳴","2","passive","-","20","fire","基礎コンボ数が（1 + 所持している炎属性トークン数 × [0.1 / 0.2 / 0.5]）倍になる。"
"パッシブ: 属性依存・条件付き強化","attr_res_water","蒼氷の共鳴","2","passive","-","20","water","基礎コンボ数が（1 + 所持している雨属性トークン数 × [0.1 / 0.2 / 0.5]）倍になる。"
"パッシブ: 属性依存・条件付き強化","attr_res_wood","翠嵐の共鳴","2","passive","-","20","wood","基礎コンボ数が（1 + 所持している風属性トークン数 × [0.1 / 0.2 / 0.5]）倍になる。"
"パッシブ: 属性依存・条件付き強化","attr_res_light","閃光の共鳴","2","passive","-","20","light","基礎コンボ数が（1 + 所持している雷属性トークン数 × [0.1 / 0.2 / 0.5]）倍になる。"
"パッシブ: 属性依存・条件付き強化","attr_res_dark","常闇の共鳴","2","passive","-","20","dark","基礎コンボ数が（1 + 所持している月属性トークン数 × [0.1 / 0.2 / 0.5]）倍になる。"
"パッシブ: 属性依存・条件付き強化","attr_res_heart","慈愛の共鳴","2","passive","-","20","heart","基礎コンボ数が（1 + 所持している心属性トークン数 × [0.1 / 0.2 / 0.5]）倍になる。"
"パッシブ: 属性依存・条件付き強化","pure_power","純粋なる力","3","passive","-","39","fire, water, wood, light, dark, heart","「時の砂」以外の無属性トークンを所持していない場合、基礎コンボ数が[4 / 5 / 6]倍になる。"
"パッシブ: 統計依存（特殊消し）","seeker_of_cross","十字の求道者","2","passive","-","20","","現在のゲーム中の「十字消し累計回数」5回につき、十字消しの際に追加でコンボ加算 +[1/2/3]。"
"パッシブ: 統計依存（特殊消し）","seeker_of_len4","四連の探求者","2","passive","-","15","","現在のゲーム中の「4個消し累計回数」20回につき、4個消しの際に追加でコンボ加算 +[1/2/3]。"
"パッシブ: 統計依存（特殊消し）","polishing_claw","鉤爪の研鑽","2","passive","-","14","","現在のゲーム中の「L字消し累計回数」1回につき、このトークンの売却値が[1/2/3]上がる。"
"パッシブ: 統計依存（特殊消し）","memory_of_flash","一閃の記憶","2","passive","-","24","","現在のゲーム中の「横1列消し累計回数」5回につき、横1列消し1つにつきコンボ倍率にプラス[2/3/4]。"
"パッシブ: 統計依存（特殊消し）","artisan_of_square","方陣の職人","3","passive","-","26","","現在のゲーム中の「四角消し累計回数」5回につき、コンボ倍率にプラス[2/3/5]。"
"パッシブ: 統計依存（特殊消し）","guide_of_fivestar","五星の導き手","2","passive","-","20","","現在のゲーム中の「5個以上連結消し累計回数」10回につき、5個消しの次手操作時間が +[0.5/1.0/1.5]秒 される。"
"パッシブ: 統計依存（リソース・進行）","pride_of_spendthrift","浪費家の意地","3","passive","-","26","","現在のゲーム中の「累計消費スター数」50★につき、コンボ倍率にプラス[2 / 3 / 4]。"
"パッシブ: 統計依存（リソース・進行）","proof_of_veteran","歴戦の証明","3","passive","-","24","","「現在のクリア回数」の進行ごとに、強化ドロップ確率が +[1/2/3]%。"
"パッシブ: 統計依存（リソース・進行）","end_of_thought","熟考の果て","2","passive","-","26","","「合計操作時間」1分につき、報酬倍率が +[50/100/200]% 加算される。"
"パッシブ: ハイリスク・ハイリターン","desperate_stance","背水の陣","3","passive","-","31","","操作時間が常に4秒固定。基礎コンボ数が[2 / 3 / 4]倍になる。"
"パッシブ: ハイリスク・ハイリターン","greed_power","金満の暴力","1","passive","-","26","","★[20/15/10]個につきコンボ倍率にプラス1。"
"パッシブ: ハイリスク・ハイリターン","picky_eater","偏食家","3","passive","-","24","heart, light, dark","ハート/雷/月が出現しなくなる。手番[−2/−1/±0]。"
"パッシブ: ハイリスク・ハイリターン","cursed_power","呪われた力","1","passive","-","26","","常にコンボ+[30/60/100]。操作時間−3秒。"
"パッシブ: ハイリスク・ハイリターン","critical_passive","会心の一撃","3","passive","-","26","","20%の確率で、コンボ倍率にプラス[20 / 50 / 100]。"
"パッシブ: ハイリスク・ハイリターン","shape_master","百般の型の極意","2","passive","-","31","","1ターンの間に異なる特殊消しを2種類以上発動させると、コンボ倍率にプラス[3 / 4 / 5]。"
"パッシブ: ハイリスク・ハイリターン","zero_charge","静寂の瞑想","1","passive","-","24","","0コンボの時、スキルのエネルギーを[3/5/7]チャージする。"
"パッシブ: ハイリスク・ハイリターン","random_add","気まぐれなダイス","2","passive","-","15","","コンボ加算にランダムな値を追加する"
"パッシブ: ハイリスク・ハイリターン","contract_of_void","虚無の契約","3","passive","-","31","","全エンチャント効果が無効になる代わりに、基礎コンボ数が[3 / 4 / 5]倍になる。"
"パッシブ: ハイリスク・ハイリターン","limit_breaker","限界突破","3","passive","-","39","","一部のパッシブ効果による「動的コンボ倍率の最大上限」をLvで上昇させる(Lv1:x2/Lv2:x5)。Lv3で20倍になる。"
"パッシブ: ハイリスク・ハイリターン","speed_of_light_thought","神速の思考","2","passive","-","26","","操作時間が「2秒以上」余った状態でドロップを離してターンを終えると、コンボ倍率が[2 / 3 / 5]倍になる。"
"パッシブ: ハイリスク・ハイリターン","last_turn_burst","最後の輝き","2","passive","-","20","","サイクルの最終ターン目のみ、基礎コンボ数が[2 / 3 / 4]倍になる。"
"パッシブ: ハイリスク・ハイリターン","erosion_fire","炎の浸食","2","passive","-","24","fire","ターン終了時、盤面にある炎ドロップの上下左右にある通常ドロップが、[30/50/70]%の確率で炎ドロップに変化する。"
"パッシブ: ハイリスク・ハイリターン","erosion_water","雨の浸食","2","passive","-","24","water","ターン終了時、盤面にある雨ドロップの上下左右にある通常ドロップが、[30/50/70]%の確率で雨ドロップに変化する。"
"パッシブ: ハイリスク・ハイリターン","erosion_wood","風の浸食","2","passive","-","24","wood","ターン終了時、盤面にある風ドロップの上下左右にある通常ドロップが、[30/50/70]%の確率で風ドロップに変化する。"
"パッシブ: ハイリスク・ハイリターン","erosion_light","雷の浸食","2","passive","-","24","light","ターン終了時、盤面にある雷ドロップの上下左右にある通常ドロップが、[30/50/70]%の確率で雷ドロップに変化する。"
"パッシブ: ハイリスク・ハイリターン","erosion_dark","月の浸食","2","passive","-","24","dark","ターン終了時、盤面にある月ドロップの上下左右にある通常ドロップが、[30/50/70]%の確率で月ドロップに変化する。"
"パッシブ: ハイリスク・ハイリターン","erosion_heart","癒の浸食","2","passive","-","24","heart","ターン終了時、盤面にあるハートドロップの上下左右にある通常ドロップが、[30/50/70]%の確率でハートドロップに変化する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_convert_f_d","影への流転","2","passive","-","20","fire, dark","ターン終了時、[50/70/100]%の確率で盤面にある炎ドロップを月ドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_convert_w_f","劫炎への流転","2","passive","-","20","water, fire","ターン終了時、[50/70/100]%の確率で盤面にある雨ドロップを炎ドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_convert_g_w","奔流への流転","2","passive","-","20","wood, water","ターン終了時、[50/70/100]%の確率で盤面にある風ドロップを雨ドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_convert_l_g","深風への流転","2","passive","-","20","light, wood","ターン終了時、[50/70/100]%の確率で盤面にある雷ドロップを風ドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_convert_d_l","聖雷への流転","2","passive","-","20","dark, light","ターン終了時、[50/70/100]%の確率で盤面にある月ドロップを雷ドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_convert_h_f","癒の劫火","2","passive","-","20","heart, fire","ターン終了時、[50/70/100]%の確率で盤面にあるハートドロップを炎ドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_full_board_f","紅蓮の支配者","3","passive","-","31","fire","ターン終了時、[10/30/50]%の確率で盤面を全て炎ドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_full_board_w","蒼海の支配者","3","passive","-","31","water","ターン終了時、[10/30/50]%の確率で盤面を全て雨ドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_full_board_g","深翠の支配者","3","passive","-","31","wood","ターン終了時、[10/30/50]%の確率で盤面を全て風ドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_full_board_l","閃雷の支配者","3","passive","-","31","light","ターン終了時、[10/30/50]%の確率で盤面を全て雷ドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_full_board_d","常闇の支配者","3","passive","-","31","dark","ターン終了時、[10/30/50]%の確率で盤面を全て月ドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_full_board_h","生命の支配者","3","passive","-","31","heart","ターン終了時、[10/30/50]%の確率で盤面を全てハートドロップに変換する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_spawn_f","炎の泉","2","passive","-","20","fire","ターン終了時、[70/90/100]%の確率で炎ドロップをランダムに5個生成する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_spawn_w","雨の泉","2","passive","-","20","water","ターン終了時、[70/90/100]%の確率で雨ドロップをランダムに5個生成する。"
"パッシブ: ハイリスク・ハイリターン","turn_end_spawn_g","風の泉","2","passive","-","20","wood","ターン終了時、[70/90/100]%の確率で風ドロップをランダムに5個生成する。"
